breathe	breathes	breathing	breathed
scamp	scamps	scamping	scamped
grandstand	grandstands	grandstanding	grandstanded
solo	solos	soloing	soloed
underperform	underperforms	underperforming	underperformed
sightread	sightreads	sightreading	sightread
sight-read	sight-reads	sight-reading	sight-readed
sights	sightss	sightsing	sightsed
sight-s	sight-ss	sight-sing	sight-sed
concertize	concertizes	concertizing	concertized
concertise	concertises	concertising	concertised
debut	debuts	debuting	debuted
premier	premiers	premiering	premiered
premiere	premieres	premiering	premiered
audition	auditions	auditioning	auditioned
cybernate	cybernates	cybernating	cybernated
computerize	computerizes	computerizing	computerized
computerise	computerises	computerising	computerised
roleplay	roleplays	roleplaying	roleplayed
playact	playacts	playacting	playacted
co-star	co-stars	co-starring	co-starred
simulate	simulates	simulating	simulated
feint	feints	feinting	feinted
enact	enacts	enacting	enacted
reenact	reenacts	reenacting	reenacted
rehearse	rehearses	rehearsing	rehearsed
scrimmage	scrimmages	scrimmaging	scrimmaged
travesty	travesties	travestying	travestied
mime	mimes	miming	mimed
pantomime	pantomimes	pantomiming	pantomimed
prelude	preludes	preluding	preluded
bugle	bugles	bugling	bugled
skirl	skirls	skirling	skirled
symphonize	symphonizes	symphonizing	symphonized
symphonise	symphonises	symphonising	symphonised
reprise	reprises	reprising	reprised
reprize	reprizes	reprizing	reprized
pedal	pedals	pedaling	pedaled
accompany	accompanies	accompanying	accompanied
improvise	improvises	improvising	improvised
improvize	improvizes	improvizing	improvized
ad-lib	ad-libs	ad-libbing	ad-libbed
extemporize	extemporizes	extemporizing	extemporized
extemporise	extemporises	extemporising	extemporised
psalm	psalms	psalming	psalmed
minstrel	minstrels	minstrelling	minstrelled
solmizate	solmizates	solmizating	solmizated
choir	choirs	choiring	choired
carol	carols	carolling	carolled
madrigal	madrigals	madrigalling	madrigalled
conduct	conducts	conducting	conducted
triple-tongue	triple-tongues	triple-tonguing	triple-tongued
reduplicate	reduplicates	reduplicating	reduplicated
replicate	replicates	replicating	replicated
triplicate	triplicates	triplicating	triplicated
quadruplicate	quadruplicates	quadruplicating	quadruplicated
reprint	reprints	reprinting	reprinted
reissue	reissues	reissuing	reissued
photocopy	photocopies	photocopying	photocopied
xerox	xeroxes	xeroxing	xeroxed
microcopy	microcopies	microcopying	microcopied
photostat	photostats	photostatting	photostatted
reinvent	reinvents	reinventing	reinvented
preassemble	preassembles	preassembling	preassembled
farm	farms	farming	farmed
till	tills	tilling	tilled
garden	gardens	gardening	gardened
landscape	landscapes	landscaping	landscaped
overcrop	overcrops	overcropping	overcropped
overcultivate	overcultivates	overcultivating	overcultivated
plough	ploughs	ploughing	ploughed
harrow	harrows	harrowing	harrowed
disk	disks	disking	disked
hoe	hoes	hoing	hoed
mimic	mimics	mimicking	mimicked
pattern	patterns	patterning	patterned
sovietize	sovietizes	sovietizing	sovietized
sovietise	sovietises	sovietising	sovietised
typeset	typesets	typesetting	typeset
table	tables	tabling	tabled
tabularize	tabularizes	tabularizing	tabularized
tabularise	tabularises	tabularising	tabularised
print	prints	printing	printed
gazette	gazettes	gazetting	gazetted
misprint	misprints	misprinting	misprinted
offset	offsets	offsetting	offset
scrawl	scrawls	scrawling	scrawled
overprint	overprints	overprinting	overprinted
cyclostyle	cyclostyles	cyclostyling	cyclostyled
fingerprint	fingerprints	fingerprinting	fingerprinted
boldface	boldfaces	boldfacing	boldfaced
italicize	italicizes	italicizing	italicized
italicise	italicises	italicising	italicised
lithograph	lithographs	lithographing	lithographed
silkscreen	silkscreens	silkscreening	silkscreened
stencil	stencils	stencilling	stencilled
benday	bendays	bendaying	bendayed
aquatint	aquatints	aquatinting	aquatinted
corduroy	corduroys	corduroying	corduroyed
overact	overacts	overacting	overacted
ham	hams	hamming	hammed
overplay	overplays	overplaying	overplayed
underact	underacts	underacting	underacted
rough	roughs	roughing	roughed
graph	graphs	graphing	graphed
shimmy	shimmies	shimmying	shimmied
script	scripts	scripting	scripted
demyelinate	demyelinates	demyelinating	demyelinated
filigree	filigrees	filigreeing	filigreeed
liberate	liberates	liberating	liberated
embattle	embattles	embattling	embattled
busk	busks	busking	busked
enkindle	enkindles	enkindling	enkindled
kindle	kindles	kindling	kindled
rekindle	rekindles	rekindling	rekindled
infatuate	infatuates	infatuating	infatuated
ignite	ignites	igniting	ignited
fuel	fuels	fuelling	fuelled
jolt	jolts	jolting	jolted
overflow	overflows	overflowing	overflowed
disquiet	disquiets	disquieting	disquieted
cark	carks	carking	carked
distract	distracts	distracting	distracted
unbalance	unbalances	unbalancing	unbalanced
quiet	quiets	quieting	quieted
lenify	lenifies	lenifying	lenified
placate	placates	placating	placated
gruntle	gruntles	gruntling	gruntled
care	cares	caring	cared
wow	wows	wowing	wowed
pride	prides	priding	prided
emote	emotes	emoting	emoted
harbor	harbors	harborring	harborred
harbour	harbours	harbouring	harboured
resent	resents	resenting	resented
embitter	embitters	embittering	embittered
grudge	grudges	grudging	grudged
rankle	rankles	rankling	rankled
hate	hates	hating	hated
detest	detests	detesting	detested
abhor	abhors	abhorring	abhorred
loathe	loathes	loathing	loathed
abominate	abominates	abominating	abominated
contemn	contemns	contemning	contemned
despise	despises	despising	despised
cherish	cherishes	cherishing	cherished
treasure	treasures	treasuring	treasured
dislike	dislikes	disliking	disliked
cotton	cottons	cottonning	cottonned
dote	dotes	doting	doted
yearn	yearns	yearning	yearned
adore	adores	adoring	adored
idolize	idolizes	idolizing	idolized
idolise	idolises	idolising	idolised
worship	worships	worshipping	worshipped
hero-worship	hero-worships	hero-worshipping	hero-worshipped
revere	reveres	revering	revered
reverence	reverences	reverencing	reverenced
fear	fears	fearing	feared
venerate	venerates	venerating	venerated
frighten	frightens	frightening	frightened
fright	frights	frighting	frighted
scare	scares	scaring	scared
affright	affrights	affrighting	affrighted
awe	awes	awing	awed
overawe	overawes	overawing	overawed
cow	cows	cowing	cowed
buffalo	buffalos	buffaloing	buffaloed
dread	dreads	dreading	dreaded
terrify	terrifies	terrifying	terrified
terrorize	terrorizes	terrorizing	terrorized
terrorise	terrorises	terrorising	terrorised
intimidate	intimidates	intimidating	intimidated
bullyrag	bullyrags	bullyragging	bullyragged
ballyrag	ballyrags	ballyragging	ballyragged
hector	hectors	hectoring	hectored
tyrannize	tyrannizes	tyrannizing	tyrannized
tyrannise	tyrannises	tyrannising	tyrannised
domineer	domineers	domineering	domineered
panic	panics	panicking	panicked
dismay	dismays	dismaying	dismayed
appal	appals	appalling	appalled
appall	appals	appalling	appalled
horrify	horrifies	horrifying	horrified
haunt	haunts	haunting	haunted
obsess	obsesses	obsessing	obsessed
preoccupy	preoccupies	preoccupying	preoccupied
faze	fazes	fazing	fazed
unnerve	unnerves	unnerving	unnerved
unsettle	unsettles	unsettling	unsettled
unman	unmans	unmanning	unmanned
freak	freaks	freaking	freaked
daunt	daunts	daunting	daunted
anger	angers	angering	angered
miff	miffs	miffing	miffed
gall	galls	galling	galled
irk	irks	irking	irked
infuriate	infuriates	infuriating	infuriated
incense	incenses	incensing	incensed
madden	maddens	maddening	maddened
annoy	annoys	annoying	annoyed
bother	bothers	bothering	bothered
nettle	nettles	nettling	nettled
peeve	peeves	peeving	peeved
pique	piques	piquing	piqued
offend	offends	offending	offended
hassle	hassles	hassling	hassled
chivy	chivvies	chivying	chivvied
chivvy	chivvies	chivvying	chivvied
chevy	chevies	chevying	chevied
chevvy	chevvies	chevvying	chevvied
plague	plagues	plaguing	plagued
molest	molests	molesting	molested
discompose	discomposes	discomposing	discomposed
disconcert	disconcerts	disconcerting	disconcerted
discomfit	discomfits	discomfiting	discomfited
fluster	flusters	flustering	flustered
flurry	flurries	flurrying	flurried
consternate	consternates	consternating	consternated
bemuse	bemuses	bemusing	bemused
embarrass	embarrasses	embarrassing	embarrassed
abash	abashes	abashing	abashed
anguish	anguishes	anguishing	anguished
spite	spites	spiting	spited
fuss	fusses	fussing	fussed
agonize	agonizes	agonizing	agonized
agonise	agonises	agonising	agonised
enrage	enrages	enraging	enraged
rage	rages	raging	raged
thrill	thrills	thrilling	thrilled
vibrate	vibrates	vibrating	vibrated
repent	repents	repenting	repented
rue	rues	ruing	rued
atone	atones	atoning	atoned
mourn	mourns	mourning	mourned
grieve	grieves	grieving	grieved
sorrow	sorrows	sorrowing	sorrowed
aggrieve	aggrieves	aggrieving	aggrieved
tribulate	tribulates	tribulating	tribulated
distress	distresses	distressing	distressed
disappoint	disappoints	disappointing	disappointed
humiliate	humiliates	humiliating	humiliated
chagrin	chagrins	chagrining	chagrined
humble	humbles	humbling	humbled
abase	abases	abasing	abased
demean	demeans	demeaning	demeaned
humanize	humanizes	humanizing	humanized
humanise	humanises	humanising	humanised
keen	keens	keening	keened
frustrate	frustrates	frustrating	frustrated
pester	pesters	pestering	pestered
bug	bugs	bugging	bugged
ingratiate	ingratiates	ingratiating	ingratiated
mope	mopes	moping	moped
ache	aches	aching	ached
yen	yens	yening	yened
pine	pines	pining	pined
nerve	nerves	nerving	nerved
enamour	enamours	enamouring	enamoured
trance	trances	trancing	tranced
becharm	becharms	becharming	becharmed
enamor	enamors	enamorring	enamorred
captivate	captivates	captivating	captivated
beguile	beguiles	beguiling	beguiled
fascinate	fascinates	fascinating	fascinated
endear	endears	endearing	endeared
antagonize	antagonizes	antagonizing	antagonized
antagonise	antagonises	antagonising	antagonised
disgust	disgusts	disgusting	disgusted
revolt	revolts	revolting	revolted
nauseate	nauseates	nauseating	nauseated
whelm	whelms	whelming	whelmed
scandalize	scandalizes	scandalizing	scandalized
scandalise	scandalises	scandalising	scandalised
outrage	outrages	outraging	outraged
despair	despairs	despairing	despaired
despond	desponds	desponding	desponded
elate	elates	elating	elated
uplift	uplifts	uplifting	uplifted
exhilarate	exhilarates	exhilarating	exhilarated
gladden	gladdens	gladdening	gladdened
sadden	saddens	saddening	saddened
overjoy	overjoys	overjoying	overjoyed
joy	joys	joying	joyed
deject	dejects	dejecting	dejected
dispirit	dispirits	dispiriting	dispirited
demoralise	demoralises	demoralising	demoralised
console	consoles	consoling	consoled
solace	solaces	solacing	solaced
abreact	abreacts	abreacting	abreacted
please	pleases	pleasing	pleased
titillate	titillates	titillating	titillated
dissatisfy	dissatisfies	dissatisfying	dissatisfied
discontent	discontents	discontenting	discontented
displease	displeases	displeasing	displeased
enrapture	enraptures	enrapturing	enraptured
enthrall	enthrals	enthralling	enthralled
ravish	ravishes	ravishing	ravished
enthral	enthrals	enthralling	enthralled
disenchant	disenchants	disenchanting	disenchanted
disillusion	disillusions	disillusioning	disillusioned
hearten	heartens	heartening	heartened
embolden	emboldens	emboldening	emboldened
dishearten	disheartens	disheartening	disheartened
dither	dithers	dithering	dithered
pother	pothers	pothering	pothered
relish	relishes	relishing	relished
savor	savors	savorring	savorred
savour	savours	savouring	savoured
interest	interests	interesting	interested
startle	startles	startling	startled
pity	pities	pitying	pitied
compassionate	compassionates	compassionating	compassionated
commiserate	commiserates	commiserating	commiserated
condole	condoles	condoling	condoled
estrange	estranges	estranging	estranged
alienate	alienates	alienating	alienated
alien	aliens	aliening	aliened
disaffect	disaffects	disaffecting	disaffected
begrudge	begrudges	begrudging	begrudged
desire	desires	desiring	desired
itch	itches	itching	itched
ambition	ambitions	ambitioning	ambitioned
envy	envies	envying	envied
covet	covets	coveting	coveted
admire	admires	admiring	admired
hanker	hankers	hankering	hankered
long	longs	longing	longed
glow	glows	glowing	glowed
disgruntle	disgruntles	disgruntling	disgruntled
spook	spooks	spooking	spooked
prolapse	prolapses	prolapsing	prolapsed
whish	whishes	whishing	whished
gravitate	gravitates	gravitating	gravitated
travel	travels	travelling	travelled
travel	travels	travelling	traveled
locomote	locomotes	locomoting	locomoted
swap	swaps	swapping	swopped	swapped
overfly	overflies	overflying	overflew	overflown
red-eye	red-eyes	red-eyeing	red-eyeed
hop	hops	hopping	hopped
wend	wends	wending	wended
sheer	sheers	sheering	sheered
astrogate	astrogates	astrogating	astrogated
jaunt	jaunts	jaunting	jaunted
junketeer	junketeers	junketeering	junketeered
resort	resorts	resorting	resorted
sightsee	sightsees	sightseeing	sightsaw	sightseen
revisit	revisits	revisiting	revisited
frequent	frequents	frequenting	frequented
cruise	cruises	cruising	cruised
tour	tours	touring	toured
globe-trot	globe-trots	globe-trotting	globe-trotted
journey	journeys	journeying	journeyed
voyage	voyages	voyaging	voyaged
sail	sails	sailing	sailed
navigate	navigates	navigating	navigated
trek	treks	trekking	trekked
kite	kites	kiting	kited
depart	departs	departing	departed
displace	displaces	displacing	displaced
re-enter	re-enters	re-enterring	re-enterred
syphon	syphons	syphoning	syphoned
transit	transits	transiting	transited
migrate	migrates	migrating	migrated
transmigrate	transmigrates	transmigrating	transmigrated
kick-start	kick-starts	kick-starting	kick-started
hot-wire	hot-wires	hot-wiring	hot-wired
brake	brakes	braking	braked
dabble	dabbles	dabbling	dabbled
rim	rims	rimming	rimmed
revolve	revolves	revolving	revolved
somersault	somersaults	somersaulting	somersaulted
trundle	trundles	trundling	trundled
writhe	writhes	writhing	writhed
wriggle	wriggles	wriggling	wriggled
worm	worms	worming	wormed
squirm	squirms	squirming	squirmed
wobble	wobbles	wobbling	wobbled
coggle	coggles	coggling	coggled
sidle	sidles	sidling	sidled
sashay	sashays	sashaying	sashayed
pronk	pronks	pronking	pronked
skid	skids	skidding	skidded
slue	slues	sluing	slued
slay	slays	slaying	slew	slain
slide	slides	sliding	slid	slidden
side-slip	side-slips	side-slipping	side-slipped
wamble	wambles	wambling	wambled
waggle	waggles	waggling	waggled
jostle	jostles	jostling	jostled
waft	wafts	wafting	wafted
tide	tides	tiding	tided
refloat	refloats	refloating	refloated
rock	rocks	rocking	rocked
sway	sways	swaying	swayed
reciprocate	reciprocates	reciprocating	reciprocated
nutate	nutates	nutating	nutated
swag	swags	swagging	swagged
vacillate	vacillates	vacillating	vacillated
oscillate	oscillates	oscillating	oscillated
librate	librates	librating	librated
flicker	flickers	flickering	flickered
flitter	flitters	flittering	flittered
quiver	quivers	quivering	quivered
throb	throbs	throbbing	throbbed
palpitate	palpitates	palpitating	palpitated
teeter	teeters	teetering	teetered
seesaw	seesaws	seesawing	seesawed
totter	totters	tottering	tottered
tramp	tramps	tramping	tramped
roam	roams	roaming	roamed
ramble	rambles	rambling	rambled
rove	roves	roving	roved
vagabond	vagabonds	vagabonding	vagabonded
gallivant	gallivants	gallivanting	gallivanted
gad	gads	gadding	gadded
meander	meanders	meandering	meandered
snake	snakes	snaking	snaked
frolic	frolics	frolicking	frolicked
lark	larks	larking	larked
rollick	rollicks	rollicking	rollicked
skylark	skylarks	skylarking	skylarked
disport	disports	disporting	disported
sport	sports	sporting	sported
cavort	cavorts	cavorting	cavorted
gambol	gambols	gambolling	gambolled
spurt	spurts	spurting	spurted
spirt	spirts	spirting	spirted
buck	bucks	bucking	bucked
cant	cants	canting	canted
careen	careens	careening	careened
scend	scends	scending	sended
crawl	crawls	crawling	crawled
creep	creeps	creeping	crept
formicate	formicates	formicating	formicated
slither	slithers	slithering	slithered
coast	coasts	coasting	coasted
freewheel	freewheels	freewheeling	freewheeled
wheel	wheels	wheeling	wheeled
glide	glides	gliding	glided
tremble	trembles	trembling	trembled
tremor	tremors	tremorring	tremorred
quake	quakes	quaking	quaked
succuss	succusses	succussing	succussed
rattle	rattles	rattling	rattled
jactitate	jactitates	jactitating	jactitated
brachiate	brachiates	brachiating	brachiated
judder	judders	juddering	juddered
ricochet	ricochets	ricochetting	ricochetted
jounce	jounces	jouncing	jounced
glance	glances	glancing	glanced
capsize	capsizes	capsizing	capsized
budge	budges	budging	budged
breeze	breezes	breezing	breezed
glissade	glissades	glissading	glissaded
chasse	chasses	chassing	chassed
capriole	caprioles	caprioling	caprioled
bebop	bebops	bebopping	bebopped
waltz	waltzes	waltzing	waltzed
tapdance	tapdances	tapdancing	tapdanced
tango	tangoes	tangoing	tangoed
shag	shags	shagging	shagged
foxtrot	foxtrots	foxtrotting	foxtrotted
contradance	contradances	contradancing	contradanced
country-dance	country-dances	country-dancing	country-danced
contredanse	contredanses	contredansing	contredansed
break-dance	break-dances	break-dancing	break-danced
cakewalk	cakewalks	cakewalking	cakewalked
conga	congas	congaing	congaed
samba	sambas	sambaing	sambaed
two-step	two-steps	two-stepping	two-stepped
charleston	charlestons	charlestonning	charlestonned
boogie	boogies	boogieing	boogied
cha-cha	cha-chas	cha-chaing	cha-chaed
disco	discos	discoing	discoed
mambo	mambos	mamboing	mamboed
polka	polkas	polkaing	polkaed
one-step	one-steps	one-stepping	one-stepped
rhumba	rhumbas	rhumbaing	rhumbaed
rumba	rumbas	rumbaing	rumbaed
mosh	moshes	moshing	moshed
jig	jigs	jigging	jigged
jitterbug	jitterbugs	jitterbugging	jitterbugged
jiggle	jiggles	jiggling	jiggled
wiggle	wiggles	wiggling	wiggled
wag	wags	wagging	wagged
quickstep	quicksteps	quickstepping	quickstepped
dart	darts	darting	darted
flit	flits	flitting	flitted
founder	founders	foundering	foundered
lollop	lollops	lolloping	lolloped
trot	trots	trotting	trotted
luff	luffs	luffing	luffed
scurry	scurries	scurrying	scurried
scamper	scampers	scampering	scampered
scuttle	scuttles	scuttling	scuttled
swim	swims	swimming	swam	swum
spacewalk	spacewalks	spacewalking	spacewalked
chariot	chariots	charioting	charioted
caracole	caracoles	caracoling	caracoled
corner	corners	cornering	cornered
traipse	traipses	traipsing	traipsed
perambulate	perambulates	perambulating	perambulated
circumambulate	circumambulates	circumambulating	circumambulated
circumnavigate	circumnavigates	circumnavigating	circumnavigated
ambulate	ambulates	ambulating	ambulated
sneak	sneaks	sneaking	snuck
pussyfoot	pussyfoots	pussyfooting	pussyfooted
stride	strides	striding	strode
infiltrate	infiltrates	infiltrating	infiltrated
ford	fords	fording	forded
decussate	decussates	decussating	decussated
uncros	uncross	uncrossing	uncrossed
jaywalk	jaywalks	jaywalking	jaywalked
wade	wades	wading	waded
tittup	tittups	tittupping	tittupped
prance	prances	prancing	pranced
strut	struts	strutting	strutted
sleepwalk	sleepwalks	sleepwalking	sleepwalked
somnambulate	somnambulates	somnambulating	somnambulated
slink	slinks	slinking	slunk
limp	limps	limping	limped
gimp	gimps	gimping	gimped
shamble	shambles	shambling	shambled
stroll	strolls	strolling	strolled
saunter	saunters	sauntering	sauntered
amble	ambles	ambling	ambled
mosey	moseys	moseying	moseyed
prowl	prowls	prowling	prowled
skulk	skulks	skulking	skulked
toddle	toddles	toddling	toddled
dodder	dodders	doddering	doddered
waddle	waddles	waddling	waddled
promenade	promenades	promenading	promenaded
troop	troops	trooping	trooped
hike	hikes	hiking	hiked
footslog	footslogs	footslogging	footslogged
plod	plods	plodding	plodded
trudge	trudges	trudging	trudged
clamber	clambers	clambering	clambered
shin	shins	shinning	shinned
shinny	shinnies	shinnying	shinnied
escalade	escalades	escalading	escaladed
mountaineer	mountaineers	mountaineering	mountaineered
rappel	rappels	rappelling	rappelled
abseil	abseils	abseiling	abseiled
bestride	bestrides	bestriding	bestrode
tiptoe	tiptoes	tiptoeing	tiptoed
tippytoe	tippytoes	tippytoeing	tippytoeed
stalk	stalks	stalking	stalked
flounce	flounces	flouncing	flounced
parade	parades	parading	paraded
exhibit	exhibits	exhibiting	exhibited
keel	keels	keeling	keeled
flounder	flounders	floundering	floundered
stomp	stomps	stomping	stomped
backpack	backpacks	backpacking	backpacked
outrun	outruns	outrunning	outran
consort	consorts	consorting	consorted
sprint	sprints	sprinting	sprinted
lope	lopes	loping	loped
slouch	slouches	slouching	slouched
clomp	clomps	clomping	clomped
motor	motors	motoring	motored
automobile	automobiles	automobiling	automobiled
steer	steers	steering	steered
helm	helms	helming	helmed
starboard	starboards	starboarding	starboarded
conn	cons	conning	conned
beacon	beacons	beaconing	beaconed
pilot	pilots	piloting	piloted
canalize	canalizes	canalizing	canalized
canalise	canalises	canalising	canalised
angle-park	angle-parks	angle-parking	angle-parked
parallel-park	parallel-parks	parallel-parking	parallel-parked
double-park	double-parks	double-parking	double-parked
bicycle	bicycles	bicycling	bicycled
bike	bikes	biking	biked
unicycle	unicycles	unicycling	unicycled
motorbike	motorbikes	motorbiking	motorbiked
motorcycle	motorcycles	motorcycling	motorcycled
skate	skates	skating	skated
skateboard	skateboards	skateboarding	skateboarded
rollerblade	rollerblades	rollerblading	rollerbladed
ski	skis	skiing	skied	ski'd
wedel	wedels	wedelling	wedelled
hot-dog	hot-dogs	hot-dogging	hot-dogged
schuss	schusses	schussing	schussed
slalom	slaloms	slaloming	slalomed
sled	sleds	sledding	sledded
sleigh	sleighs	sleighing	sleighed
dogsle	dogsles	dogsling	dogsled
mush	mushes	mushing	mushed
bobsle	bobsles	bobsling	bobsled
toboggan	toboggans	tobogganing	tobogganed
luge	luges	luging	luged
wing	wings	winging	winged
aviate	aviates	aviating	aviated
aquaplane	aquaplanes	aquaplaning	aquaplaned
sailplane	sailplanes	sailplaning	sailplaned
hydroplane	hydroplanes	hydroplaning	hydroplaned
seaplane	seaplanes	seaplaning	seaplaned
hover	hovers	hovering	hovered
zoom	zooms	zooming	zoomed
skyrocket	skyrockets	skyrocketing	skyrocketed
levitate	levitates	levitating	levitated
boat	boats	boating	boated
steamer	steamers	steamerring	steamerred
tram	trams	tramming	trammed
motorboat	motorboats	motorboating	motorboated
yacht	yachts	yachting	yachted
scud	scuds	scudding	scudded
jibe	jibes	jibing	jibed
gybe	gybes	gybing	gybed
jib	jibs	jibbing	jibbed
row	rows	rowing	rowed
scull	sculls	sculling	sculled
canoe	canoes	canoeing	canoed
kayak	kayaks	kayaking	kayaked
surfboard	surfboards	surfboarding	surfboarded
body-surf	body-surfs	body-surfing	body-surfed
windsurf	windsurfs	windsurfing	windsurfed
taxi	taxies	taxying	taxied
cab	cabs	cabbing	cabbed
ferry	ferries	ferrying	ferried
caravan	caravans	caravanning	caravanned
wheelbarrow	wheelbarrows	wheelbarrowing	wheelbarrowed
barge	barges	barging	barged
railroad	railroads	railroading	railroaded
air-ship	air-ships	air-shipping	air-shipped
airfreight	airfreights	airfreighting	airfreighted
air-freight	air-freights	air-freighting	air-freighted
divert	diverts	diverting	diverted
route	routes	routing	routed
recommit	recommits	recommitting	recommitted
redirect	redirects	redirecting	redirected
airt	airts	airting	airted
truck	trucks	trucking	trucked
lighter	lighters	lighterring	lighterred
despatch	despatches	despatching	despatched
forward	forwards	forwarding	forwarded
hedgehop	hedgehops	hedgehopping	hedgehopped
flat-hat	flat-hats	flat-hatting	flat-hatted
joyride	joyrides	joyriding	joyrided
hitchhike	hitchhikes	hitchhiking	hitchhiked
snowmobile	snowmobiles	snowmobiling	snowmobiled
outride	outrides	outriding	outrode	outridden
unhorse	unhorses	unhorsing	unhorsed
dismount	dismounts	dismounting	dismounted
canter	cants	canting	canted
gallop	gallops	galloping	galloped
single-foot	single-foots	single-footing	single-footed
school	schools	schooling	schooled
fin	fins	finning	finned
breaststroke	breaststrokes	breaststroking	breaststroked
backstroke	backstrokes	backstroking	backstroked
skinny-dip	skinny-dips	skinny-dipping	skinny-dipped
dive	dives	diving	dove	dived
skin-dive	skin-dives	skin-diving	skin-dived
belly-flop	belly-flops	belly-flopping	belly-flopped
jackknife	jack-knifes	jack-knifing	jackknifed	jack-knifed
power-dive	power-dives	power-diving	power-dived
snorkel	snorkels	snorkeling	snorkeled
galumph	galumphs	galumphing	galumphed
saltate	saltates	saltating	saltated
vault	vaults	vaulting	vaulted
curvet	curvets	curvetting	curvetted
avalanche	avalanches	avalanching	avalanched
hop-skip	hop-skips	hop-skipping	hop-skipped
caper	capers	capering	capered
hurdle	hurdles	hurdling	hurdled
nosedive	nosedives	nosediving	nosedived
crash-dive	crash-dives'	crash-diving	crash-dived
skydive	skydives	skydiving	skydived
chute	chutes	chuting	chuted
parachute	parachutes	parachuting	parachuted
ascend	ascends	ascending	ascended
queen	queens	queening	queened
chandelle	chandelles	chandelling	chandelled
flop	flops	flopping	flopped
pinnacle	pinnacles	pinnacling	pinnacled
chin	chins	chinning	chinned
leaven	leavens	leavening	leavened
topple	topples	toppling	toppled
plummet	plummets	plummeting	plummeted
alight	alights	alighting	alighted
force-land	force-lands	force-landing	force-landed
beach	beaches	beaching	beached
disembark	disembarks	disembarking	disembarked
debark	debarks	debarking	debarked
entrain	entrains	entraining	entrained
belly-land	belly-lands	belly-landing	belly-landed
sag	sags	sagging	sagged
glycerolize	glycerolizes	glycerolizing	glycerolized
glycerolise	glycerolises	glycerolising	glycerolised
deglycerolize	deglycerolizes	deglycerolizing	deglycerolized
deglycerolise	deglycerolises	deglycerolising	deglycerolised
space	spaces	spacing	spaced
sediment	sediments	sedimenting	sedimented
well	wells	welling	welled
zigzag	zigzags	zigzagging	zigzagged
teeter-totter	teeter-totters	teeter-totterring	teeter-totterred
teetertotter	teetertotters	teetertotterring	teetertotterred
encroach	encroaches	encroaching	encroached
infringe	infringes	infringing	infringed
impinge	impinges	impinging	impinged
dawdle	dawdles	dawdling	dawdled
tailgate	tailgates	tailgating	tailgated
hand	hands	handing	handed
usher	ushers	ushering	ushered
shadow	shadows	shadowing	shadowed
dog	dogs	dogging	dogged
dispel	dispels	dispelling	dispelled
banish	banishes	banishing	banished
shoo	shoos	shooing	shooed
hound	hounds	hounding	hounded
backtrack	backtracks	backtracking	backtracked
home	homes	homing	homed
boomerang	boomerangs	boomeranging	boomeranged
arrive	arrives	arriving	arrived
attain	attains	attaining	attained
access	accesses	accessing	accessed
crest	crests	cresting	crested
peak	peaks	peaking	peaked
hightail	hightails	hightailing	hightailed
decamp	decamps	decamping	decamped
vamoose	vamooses	vamoosing	vamoosed
scram	scrams	scramming	scrammed
tarry	tarries	tarrying	tarried
linger	lingers	lingering	lingered
derail	derails	derailing	derailed
shunt	shunts	shunting	shunted
transship	transships	transshipping	transshipped
detrain	detrains	detraining	detrained
deplane	deplanes	deplaning	deplaned
emplane	emplanes	emplaning	emplaned
enplane	enplanes	enplaning	enplaned
gate-crash	gate-crashes	gate-crashing	gate-crashed
muscle	muscles	muscling	muscled
transgress	transgresses	transgressing	transgressed
trespass	trespasses	trespassing	trespassed
overstep	oversteps	overstepping	overstepped
maraud	marauds	marauding	marauded
infest	infests	infesting	infested
summit	summits	summitting	summitted
strand	strands	stranding	stranded
intersect	intersects	intersecting	intersected
congregate	congregates	congregating	congregated
mass	masses	massing	massed
reconvene	reconvenes	reconvening	reconvened
flock	flocks	flocking	flocked
escort	escorts	escorting	escorted
squire	squires	squiring	squired
convoy	convoys	convoying	convoyed
chaperone	chaperons	chaperoning	chaperoned
chaperon	chaperons	chaperonning	chaperonned
huddle	huddles	huddling	huddled
crowd	crowds	crowding	crowded
overcrowd	overcrowds	overcrowding	overcrowded
pour	pours	pouring	poured
swarm	swarms	swarming	swarmed
teem	teems	teeming	teemed
herd	herds	herding	herded
diffract	diffracts	diffracting	diffracted
disband	disbands	disbanding	disbanded
avulse	avulses	avulsing	avulsed
straggle	straggles	straggling	straggled
diverge	diverges	diverging	diverged
swerve	swerves	swerving	swerved
trend	trends	trending	trended
yaw	yaws	yawing	yawed
avert	averts	averting	averted
crook	crooks	crooking	crooked
recurve	recurves	recurving	recurved
arch	arches	arching	arched
arc	arcs	arcking	arcked
overarch	overarches	overarching	overarched
camber	cambers	cambering	cambered
hunch	hunches	hunching	hunched
queue	queues	queueing	queueed
slope	slopes	sloping	sloped
ripple	ripples	rippling	rippled
curtsey	curtseys	curtseying	curtseyed
genuflect	genuflects	genuflecting	genuflected
burrow	burrows	burrowing	burrowed
convect	convects	convecting	convected
orb	orbs	orbing	orbed
orbit	orbits	orbiting	orbited
circumvolve	circumvolves	circumvolving	circumvolved
cartwheel	cartwheels	cartwheeling	cartwheeled
pivot	pivots	pivoting	pivoted
swivel	swivels	swiveling	swiveled
whirl	whirls	whirling	whirled
gyrate	gyrates	gyrating	gyrated
whirligig	whirligigs	whirligigging	whirligigged
